ACCIDENT_NO,NODE_ID,COMPLEX_INT_NO
T20060032490,15411,7762
T20060032516,50536,7654
T20060032549,38315,8764
T20060032550,43633,6600
T20060032556,329,5293
T20060032602,26505,101279
T20060032723,44242,8645
T20060032756,55855,4333
T20060032808,45344,9144
T20060032815,55858,100487
T20060032845,41964,5902
T20060032847,57539,5865
T20060032961,40,6777
T20060033024,42675,9056
T20060033034,45189,8807
T20060033040,29860,6391
T20060033058,35627,6675
T20060033080,40913,5745
T20060033082,15437,7861
T20060033084,46197,6363
T20060033120,55861,100097
T20060033248,47464,7690
T20060033293,38188,9133
T20060033316,1320,8759
T20060033349,55889,7746
T20060033394,36208,9365
T20060033406,44382,9718
T20060033413,29998,2319
T20060033508,55868,4084
T20060033575,38477,5048
T20060033589,45002,9241
T20060033728,41896,5783
T20060033749,37980,9097
T20060033788,57538,5867
T20060033832,39679,5443
T20060033937,42197,6313
T20060033961,40942,5674
T20060033965,35785,7797
T20060033976,56495,100450
T20060034033,37911,9259
T20060034182,37170,9552
T20060034302,55585,4194
T20060034343,10592,1000
T20060034364,42822,9061
T20060034441,50142,7792
T20060034449,1195,7863
T20060034452,55889,7746
T20060034482,55896,5106
T20060034516,36983,9581
T20060034543,40289,5509
T20060034719,48154,9297
T20060034791,29592,9671
T20060034801,40913,5745
T20060034814,46025,5485
T20060034826,46295,5082
T20060034827,45952,9375
T20060034833,10850,9547
T20060034869,793,1000
T20060034869,793,6245
T20060034917,19317,4010
T20060034945,37282,9450
T20060034959,42768,6442
T20060034972,47545,7209
T20060035136,1175,6804
T20060035153,206445,8504
T20060035188,35636,1022
T20060035198,41585,5942
T20060035212,37532,9445
T20060035228,536,5287
T20060035238,232716,5357
T20060035291,36221,9332
T20060035342,29950,7780
T20060035366,36093,100455
T20060035392,49883,100128
T20060035400,44601,8854
T20060035410,41116,9710
T20060035460,37872,9182
T20060035471,49990,7730
T20060035518,52690,2201
T20060035529,43044,9063
T20060035570,29416,9498
T20060035639,29836,9447
T20060035682,43748,8754
T20060035715,43584,7057
T20060035716,41973,5922
T20060035737,892,6663
T20060035750,45879,6073
T20060035774,43053,9065
T20060035790,55916,1114
T20060035871,56498,8968
T20060035914,36230,9419
T20060036073,51145,3181
T20060036167,44317,9750
T20060036170,41527,101614
T20060036214,47884,5591
T20060036254,906,6917
T20060036285,206571,5474
T20060036312,49649,7608
T20060036410,43632,6686
T20060036445,36945,9514
