ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
T20120000992,1,Dry,1
T20120000994,1,Dry,1
T20120000995,1,Dry,1
T20120001000,1,Dry,1
T20120001007,1,Dry,1
T20120001015,1,Dry,1
T20120001016,1,Dry,1
T20120001019,1,Dry,1
T20120001026,1,Dry,1
T20120001030,1,Dry,1
T20120001033,1,Dry,1
T20120001035,1,Dry,1
T20120001037,1,Dry,1
T20120001040,1,Dry,1
T20120001041,1,Dry,1
T20120001042,1,Dry,1
T20120001047,1,Dry,1
T20120001050,1,Dry,1
T20120001051,1,Dry,1
T20120001052,1,Dry,1
T20120001053,1,Dry,1
T20120001054,1,Dry,1
T20120001055,1,Dry,1
T20120001057,1,Dry,1
T20120001059,1,Dry,1
T20120001061,1,Dry,1
T20120001063,1,Dry,1
T20120001064,1,Dry,0
T20120001065,1,Dry,1
T20120001066,1,Dry,1
T20120001067,1,Dry,1
T20120001068,1,Dry,1
T20120001069,1,Dry,1
T20120001070,1,Dry,1
T20120001073,1,Dry,0
T20120001074,1,Dry,1
T20120001075,1,Dry,1
T20120001077,1,Dry,1
T20120001078,1,Dry,1
T20120001079,1,Dry,1
T20120001080,1,Dry,1
T20120001081,1,Dry,1
T20120001082,1,Dry,1
T20120001083,1,Dry,1
T20120001085,1,Dry,1
T20120001089,1,Dry,1
T20120001090,9,Unknown,1
T20120001091,1,Dry,1
T20120001096,1,Dry,1
T20120001100,1,Dry,1
T20120001102,1,Dry,1
T20120001104,1,Dry,1
T20120001105,1,Dry,1
T20120001106,1,Dry,1
T20120001107,2,Wet,1
T20120001110,1,Dry,1
T20120001113,1,Dry,1
T20120001116,1,Dry,1
T20120001118,1,Dry,1
T20120001123,1,Dry,1
T20120001124,1,Dry,1
T20120001128,1,Dry,1
T20120001129,1,Dry,1
T20120001131,1,Dry,1
T20120001132,1,Dry,1
T20120001135,1,Dry,1
T20120001137,1,Dry,1
T20120001140,1,Dry,1
T20120001144,1,Dry,1
T20120001145,1,Dry,1
T20120001148,1,Dry,0
T20120001149,1,Dry,1
T20120001152,1,Dry,1
T20120001156,1,Dry,1
T20120001159,1,Dry,1
T20120001160,1,Dry,1
T20120001161,1,Dry,1
T20120001162,1,Dry,1
T20120001164,1,Dry,1
T20120001165,1,Dry,1
T20120001166,1,Dry,1
T20120001169,1,Dry,1
T20120001173,1,Dry,1
T20120001179,1,Dry,1
T20120001180,1,Dry,1
T20120001183,1,Dry,0
T20120001185,1,Dry,1
T20120001187,1,Dry,1
T20120001188,1,Dry,1
T20120001190,1,Dry,1
T20120001191,1,Dry,1
T20120001194,1,Dry,1
T20120001195,1,Dry,1
T20120001197,1,Dry,1
T20120001198,1,Dry,1
T20120001203,9,Unknown,1
T20120001209,1,Dry,1
T20120001210,1,Dry,1
T20120001215,1,Dry,1
T20120001216,1,Dry,1
T20120001223,1,Dry,0
T20120001225,1,Dry,1
T20120001227,1,Dry,1
T20120001229,1,Dry,1
T20120001231,1,Dry,1
T20120001232,1,Dry,1
T20120001234,1,Dry,1
T20120001239,1,Dry,1
T20120001242,1,Dry,1
T20120001243,1,Dry,1
T20120001244,1,Dry,1
T20120001245,1,Dry,1
T20120001248,1,Dry,1
T20120001250,1,Dry,1
T20120001251,1,Dry,1
T20120001258,1,Dry,1
T20120001259,1,Dry,1
T20120001260,1,Dry,1
T20120001263,1,Dry,1
T20120001264,1,Dry,1
T20120001271,1,Dry,1
T20120001272,1,Dry,1
T20120001273,2,Wet,1
T20120001274,1,Dry,1
T20120001275,1,Dry,1
T20120001276,1,Dry,1
T20120001278,2,Wet,1
T20120001279,9,Unknown,0
T20120001281,1,Dry,1
T20120001283,1,Dry,1
T20120001284,9,Unknown,1
T20120001289,1,Dry,1
T20120001290,1,Dry,1
